Rank,Points,Votes,Name,Film,Group,"Group
Rank",Vote Distribution,Year,Place of Birth,Gender,Birthday,Deathday,Age,Release Date,Genres,ID
188,28,9,Robert De Niro,The King of Comedy,2,8,243441244,1982,USA,2,1943-08-17,None,39,1982-12-18,"Comedy, Drama",755
191,28,9,Richard Dreyfuss,Close Encounters of the Third Kind,16,9,234322444,1977,USA,2,1947-10-29,None,30,1977-11-15,"Science Fiction, Drama",742
191,28,9,Bibi Andersson,The Seventh Seal,12,14,223442344,1957,Sweden,1,1935-11-11,2019-04-14,21,1957-02-16,"Fantasy, Drama",99
191,28,9,Mahershala Ali,Moonlight,10,12,433142443,2016,USA,2,1974-02-16,None,42,2016-09-02,Drama,572
191,28,9,Orson Welles,Touch of Evil,9,7,344423134,1958,USA,2,1915-05-06,1985-10-10,42,1958-03-30,"Thriller, Crime",682
195,28,9,Max von Sydow,Shame,13,13,433424332,1968,Sweden,2,1929-04-10,2020-03-08,38,1968-01-01,"War, Drama",622
196,28,8,Björk,Dancer in the Dark,20,9,34434442,2000,Iceland,1,1965-11-21,None,34,2000-05-17,"Drama, Crime",102
196,28,8,Roger Livesey,The Life and Death of Colonel Blimp,3,13,43342444,1943,UK,2,1906-06-25,1976-02-04,36,1943-06-10,"Drama, Romance, War",775
196,28,8,Maggie Cheung,In the Mood for Love,16,10,44432344,2000,China,1,1964-09-20,None,35,2000-05-20,"Drama, Romance",976
196,28,8,Richard Farnsworth,The Straight Story,1,11,34443244,1999,USA,2,1920-09-01,2000-10-06,78,1999-05-21,Drama,745
200,28,8,Audrey Hepburn,Roman Holiday,3,14,44343433,1953,Belgium,1,1929-05-04,1993-01-20,24,1953-08-20,"Comedy, Romance, Drama",70
200,28,8,Vincent Cassel,La haine,5,12,43433344,1995,France,2,1966-11-23,None,28,1995-05-27,Drama,881
202,27,11,Ray Milland,The Lost Weekend,15,9,34414132212,1945,UK,2,1907-01-04,1986-03-10,38,1945-11-29,Drama,734
203,27,10,Choi Min-sik,Oldboy,18,14,4324413141,2003,South Korea,2,1962-04-27,None,41,2003-11-21,"Drama, Thriller, Mystery, Action",651
204,27,10,Jean Pierre Leaud,The 400 Blows,11,9,4433224221,1959,France,2,1944-05-28,None,14,1959-05-04,Drama,435
205,27,10,Julie Delpy,Before Sunrise,16,11,1242342333,1995,France,1,1969-12-21,None,25,1995-01-19,"Drama, Romance",497
206,27,10,John Cazale,Dog Day Afternoon,6,11,3332313333,1975,USA,2,1935-08-12,1978-03-12,40,1975-09-19,"Crime, Drama, Thriller",467
207,27,9,Clint Eastwood,Unforgiven,20,10,424123344,1992,USA,2,1930-05-31,None,62,1992-08-07,Western,197
208,27,9,Machiko Kyo,Ugetsu,12,15,323143344,1953,Japan,1,1924-03-25,2019-05-12,29,1953-03-26,"Fantasy, Drama, Mystery",954
208,27,9,James Dean,East of Eden,7,10,434333214,1955,USA,2,1931-02-08,1955-09-30,24,1955-03-09,"Drama, Romance",408
208,27,9,Buster Keaton,"Sherlock, Jr.",7,8,224423433,1924,USA,2,1895-10-04,1966-02-01,28,1924-04-17,"Action, Comedy, Mystery",136
211,27,9,Anthony Hopkins,The Elephant Man,2,9,333324342,1980,UK,2,1937-12-31,None,42,1980-10-02,"Drama, History",53
211,27,9,Cate Blanchett,Blue Jasmine,8,10,334243332,2013,Australia,1,1969-05-14,None,44,2013-07-22,Drama,147
213,27,8,Kinuyo Tanaka,Sansho the Bailiff,12,16,24344442,1954,Japan,1,1909-11-28,1977-03-21,44,1954-03-31,Drama,986
213,27,8,Keir Dullea,2001: A Space Odyssey,9,8,44144343,1968,USA,2,1936-05-30,None,31,1968-04-02,"Science Fiction, Mystery, Adventure",515
215,27,8,Russel Crowe,The Insider,10,13,44334423,1999,New Zealand,2,1964-04-07,None,34,1999-03-10,"Drama, Thriller",783
215,27,8,Catherine Deneuve,Repulsion,18,15,24343443,1965,France,1,1943-10-22,None,21,1965-06-01,"Drama, Thriller, Horror",151
215,27,8,Gong Li,Raise the Red Lantern,11,10,34343442,1991,China,1,1965-12-31,None,25,1991-09-10,Drama,973
218,26,11,Erich von Stroheim,Sunset Blvd.,6,12,22333413221,1950,USA,2,1916-08-25,1968-10-26,33,1950-08-10,Drama,270
219,26,10,Judith Anderson,Rebecca,10,14,4241214224,1940,Australia,1,1897-02-10,1992-01-03,43,1940-03-21,"Drama, Mystery, Thriller",487
219,26,10,Robert Carlyle,Trainspotting,1,12,1413144224,1996,UK,2,1961-04-14,None,34,1996-02-23,"Drama, Crime",750
221,26,10,Clark Gable,Gone With the Wind,1,13,2321144234,1939,USA,2,1901-02-01,1960-11-16,38,1939-12-15,"Drama, War, Romance",188
221,26,10,Laurence Olivier,Hamlet,17,13,4143322421,1948,UK,2,1907-05-22,1989-07-11,40,1948-05-06,Drama,539
223,26,10,Charlie Chaplin,The Gold Rush,17,14,3234223241,1925,UK,2,1889-04-16,1977-12-25,36,1925-06-26,"Adventure, Comedy, Drama",164
224,26,9,Michelle Williams,Wendy and Lucy,6,13,244214234,2008,USA,1,1980-09-09,None,27,2008-05-22,Drama,646
225,26,9,Sissy Spacek,Carrie,5,13,414334313,1976,USA,1,1949-12-25,None,26,1976-11-03,"Horror, Thriller",826
225,26,9,Ruth Gordon,Harold and Maude,11,12,423243422,1971,USA,1,1896-10-30,1985-08-28,75,1971-12-20,"Comedy, Drama, Romance",786
225,26,9,Sidney Poitier,In the Heat of the Night,19,7,441224333,1967,USA,2,1927-02-20,None,40,1967-08-02,"Crime, Drama, Mystery, Thriller",818
228,26,9,Max Schreck,Nosferatu: A Symphony of Horror,8,11,341343323,1922,Germany,2,1879-09-06,1936-02-20,42,1922-02-17,"Drama, Fantasy, Horror",616
229,26,9,Judy Garland,The Wizard of Oz,2,10,332324333,1939,USA,1,1922-06-10,1969-06-22,17,1939-08-10,"Adventure, Fantasy, Family",489
230,26,8,Nicolas Cage,Leaving Las Vegas,16,12,23444414,1995,USA,2,1964-01-07,None,31,1995-10-27,"Drama, Romance",668
231,26,8,Steve McQueen,Papillon,5,14,43442234,1973,USA,2,1930-03-24,1980-11-07,43,1973-12-13,"Crime, Drama",838
231,26,8,Audrey Tautou,Amélie,8,12,23444234,2001,France,1,1976-08-09,None,24,2001-04-25,"Comedy, Romance",72
231,26,8,William Holden,Network,2,11,23444324,1976,USA,2,1918-04-17,1981-11-12,58,1976-11-01,Drama,903
231,26,8,Juliette Binoche,Three Colours: Blue,11,13,44432243,1993,France,1,1964-03-09,None,29,1993-09-03,Drama,502
231,26,8,Henry Fonda,The Grapes of Wrath,13,14,34341434,1940,USA,2,1905-05-16,1982-08-12,34,1940-03-15,Drama,360
236,26,8,Sydney Greenstreet,The Maltese Falcon,1,14,33443234,1941,UK,2,1879-12-27,1954-01-18,61,1941-10-03,"Mystery, Crime, Thriller",845
237,26,7,Alec Guinness,Kind Hearts and Coronets,14,9,4443434,1949,UK,2,1914-04-02,2000-08-05,35,1949-06-21,"Comedy, Drama",29
237,26,7,James Stewart,Harvey,12,17,4444343,1950,USA,2,1908-05-20,1997-07-02,42,1950-12-04,"Comedy, Fantasy",413
237,26,7,Peter O'Toole,The Lion in Winter,7,11,3434444,1968,Ireland,2,1932-08-02,2013-12-14,35,1968-01-01,"Drama, History",712
240,25,10,Ruth Gordon,Rosemary's Baby,2,12,2123432341,1968,USA,1,1896-10-30,1985-08-28,71,1968-06-12,"Horror, Drama, Mystery",787
240,25,10,Kate Winslet,Eternal Sunshine of the Spotless Mind,14,10,2422321423,2004,UK,1,1975-10-05,None,28,2004-03-19,"Science Fiction, Drama, Romance",508
242,25,10,Lamberto Maggiorani,Bicycle Thieves,13,15,3121234333,1948,Rome,2,1909-08-28,1983-04-22,39,1948-11-24,Drama,532
242,25,10,Humphrey Bogart,The Big Sleep,19,8,3321333412,1946,USA,2,1899-12-25,1957-01-14,46,1946-08-22,"Crime, Mystery, Thriller",370
244,25,9,Woody Allen,Annie Hall,13,16,414424141,1977,USA,2,1935-12-01,None,41,1977-03-27,"Comedy, Drama, Romance",910
245,25,9,Brad Dourif,One Flew Over the Cuckoo's Nest,16,13,431332423,1975,USA,2,1950-03-18,None,25,1975-11-18,Drama,108
245,25,9,Tatsuya Nakadai,Kagemusha,16,13,343334221,1980,Japan,2,1932-12-13,None,47,1980-04-23,"Action, Drama, History, War",955
245,25,9,Gene Wilder,Willy Wonka & the Chocolate Factory,7,12,232322443,1971,USA,2,1933-06-11,2016-08-29,38,1971-06-29,"Family, Fantasy, Comedy",311
248,25,9,William H. Macy,Fargo,10,15,242333332,1996,USA,2,1950-03-13,None,46,1996-03-08,"Crime, Drama, Thriller",901
249,25,8,Denzel Washington,Malcolm X,18,16,24143434,1992,USA,2,1954-12-28,None,37,1992-11-18,"Drama, History",225
249,25,8,Haing S. Ngor,The Killing Fields,12,18,44432242,1984,Cambodia,2,1940-03-22,1996-02-25,44,1984-11-02,"Drama, History, War",342
249,25,8,Al Pacino,Serpico,19,9,34424314,1973,USA,2,1940-04-25,None,33,1973-12-05,"Crime, Drama, History",14
252,25,8,Nicolas Cage,Adaption,6,14,33234442,2002,USA,2,1964-01-07,None,38,2002-12-06,"Comedy, Crime, Drama",667
252,25,8,Leila Hatami,A Separation,9,9,34442323,2011,Iran,1,1972-02-10,None,39,2011-02-01,Drama,936
252,25,8,Ian Holm,The Sweet Hereafter,13,17,23244433,1997,UK,2,1931-09-12,2020-06-19,65,1997-05-15,Drama,375
252,25,8,Bruce Dern,Nebraska,1,15,42443332,2013,USA,2,1936-06-04,None,77,2013-05-23,"Drama, Adventure",124
252,25,8,John Goodman,The Big Lebowski,4,10,22344343,1998,USA,2,1952-06-20,None,45,1998-02-15,"Comedy, Crime",470
252,25,8,Emil Jannings,The Last Laugh,1,15,44334322,1924,Switzerland,2,1884-07-23,1950-01-02,40,1924-12-23,Drama,259
258,25,8,Peyman Maadi,A Separation,7,13,33333334,2011,Iran,2,1970-07-30,None,40,2011-02-01,Drama,938
259,25,7,Harvey Keitel,Bad Lieutenant,19,10,4443424,1992,USA,2,1939-05-13,None,53,1992-09-16,"Crime, Drama",350
259,25,7,Emma Thompson,The Remains of the Day,5,15,4444432,1993,UK,1,1959-04-15,None,34,1993-11-05,"Drama, Romance",263
259,25,7,Daniel Day-Lewis,My Left Foot,11,11,2344444,1989,UK,2,1957-04-29,None,31,1989-04-07,Drama,208
259,25,7,Homayoun Ershadi,Taste of Cherry,14,11,4344244,1997,Iran,2,1947-03-26,None,50,1997-05-16,Drama,937
259,25,7,Meryl Streep,Sophie's Choice,14,11,4424443,1982,USA,1,1949-06-22,None,33,1982-12-08,"Drama, Romance",628
264,25,7,Gary Cooper,High Noon,8,13,4344433,1952,USA,2,1901-05-07,1961-05-13,51,1952-05-01,"Western, Thriller, Drama",298
265,24,10,Kathy Bates,Misery,1,17,3222342123,1990,USA,1,1948-06-28,None,42,1990-11-29,"Drama, Thriller",513
266,24,9,Teresa Wright,Shadow of a Doubt,11,14,441422241,1943,USA,1,1918-10-27,2005-03-06,24,1943-01-12,"Crime, Drama, Thriller",849
267,24,9,George Macready,Paths of Glory,15,10,142424322,1957,USA,2,1899-08-29,1973-07-03,58,1957-09-18,"Drama, War",319
268,24,9,Jeff Goldblum,The Fly,5,16,323433321,1986,USA,2,1952-10-22,None,33,1986-08-15,"Horror, Science Fiction",444
268,24,9,Laurence Olivier,Marathon Man,11,15,433323213,1976,UK,2,1907-05-22,1989-07-11,69,1976-10-06,"Thriller, Drama",540
268,24,9,Henry Fonda,Fail-Safe,1,18,334213323,1964,USA,2,1905-05-16,1982-08-12,59,1964-09-15,"Drama, Thriller, War",358
271,24,8,Max von Sydow,The Exorcist,2,13,42214434,1973,Sweden,2,1929-04-10,2020-03-08,44,1973-05-31,Horror,618
271,24,8,Ralph Fiennes,The Grand Budapest Hotel,9,10,31441443,2014,UK,2,1962-12-22,None,51,2014-02-06,"Comedy, Drama",729
271,24,8,Celia Johnson,Brief Encounter,17,15,22144344,1945,UK,1,1908-12-18,1982-04-26,36,1945-11-24,"Drama, Romance",155
274,24,8,Patricia Neal,Hud,3,15,12443433,1963,USA,1,1926-01-20,2010-08-08,37,1963-05-28,"Drama, Western",686
274,24,8,Bud Cort,Harold and Maude,15,11,32324424,1971,USA,2,1948-03-29,None,23,1971-12-20,"Comedy, Drama, Romance",129
274,24,8,Isabelle Adjani,Possession,8,14,34143423,1981,France,1,1955-06-27,None,25,1981-05-25,Horror,386
274,24,8,Chiwetel Ejiofor,12 Years a Slave,16,15,33414243,2013,UK,2,1977-07-10,None,36,2013-10-18,"Drama, History",172
274,24,8,Hanna Schygulla,The Marriage of Maria Braun,7,14,42324423,1979,Polska,1,1943-12-25,None,35,1979-02-20,Drama,343
274,24,8,Charles Laughton,Witness for the Prosecution,19,11,43344213,1957,UK,2,1899-07-01,1962-12-15,58,1957-12-17,"Drama, Mystery, Crime",160
280,24,8,Sterling Hayden,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",19,12,31443333,1964,USA,2,1916-03-26,1986-05-23,47,1964-01-29,"Drama, Comedy, War",834
280,24,8,Jan Malmsjö,Fanny and Alexander,17,16,24343332,1982,Sweden,2,1932-05-29,None,50,1982-12-17,"Fantasy, Drama, Mystery",420
282,24,8,Ben Johnson,The Last Picture Show,12,19,43333323,1971,USA,2,1918-06-13,1996-04-08,53,1971-10-02,Drama,87
283,24,7,Gary Oldman,The Professional,2,14,4424424,1994,UK,2,1958-03-21,None,36,1994-09-14,"Crime, Drama, Action",301
284,24,7,Irène Jacob,The Double Life of Veronique,8,15,2443344,1991,France,1,1966-07-15,None,24,1991-05-15,"Drama, Thriller",384
284,24,7,Janet Gaynor,Sunrise: A Song of Two Humans,10,16,3344424,1927,USA,1,1906-10-06,1984-09-14,20,1927-09-23,"Drama, Romance",427
284,24,7,Ethan Hawke,First Reformed,8,15,2434434,2017,USA,2,1970-11-06,None,46,2017-08-31,Drama,276
284,24,7,Agnes Moorehead,The Magnificent Ambersons,16,17,4434423,1942,USA,1,1900-12-06,1974-04-30,41,1942-07-09,"Drama, Romance",8
284,24,7,Katherine Hepburn,The Philadelphia Story,16,16,3444432,1940,USA,1,1907-05-12,2003-06-29,33,1940-12-05,"Comedy, Romance",512
284,24,7,Humphrey Bogart,The Caine Mutiny,7,15,4443324,1954,USA,2,1899-12-25,1957-01-14,54,1954-06-23,War,371
290,24,7,Lillian Gish,The Night of the Hunter,20,11,4343343,1955,USA,1,1893-10-14,1993-02-27,61,1955-07-26,"Crime, Drama, Thriller",551
291,23,11,Eric Idle,Monty Python and the Holy Grail,3,16,24111222242,1975,UK,2,1943-03-29,None,31,1975-03-14,"Adventure, Comedy, Fantasy",268
292,23,10,Heath Ledger,The Dark Knight,4,11,1321132343,2008,Australia,2,1979-04-04,2008-01-22,29,2008-07-14,"Drama, Action, Crime, Thriller",353
293,23,9,Shirley MacLaine,The Apartment,16,18,233314241,1960,USA,1,1934-04-24,None,26,1960-06-15,"Comedy, Drama, Romance",817
293,23,9,Mieko Harada,Ran,1,19,331341341,1985,Japan,1,1958-12-26,None,26,1985-05-25,"Action, Drama, History",964
293,23,9,Daisuke Kato,Seven Samurai,4,12,231424232,1954,Japan,2,1911-02-18,1975-07-31,43,1954-04-26,"Action, Drama",960
296,23,9,Robert Redford,Butch Cassidy and the Sundance Kid,12,20,333321242,1969,USA,2,1936-08-18,None,33,1969-09-23,"Western, Drama, Crime",765
297,23,8,Penelope Cruz,Volver,11,16,21234344,2006,Spain,1,1974-04-28,None,31,2006-03-16,"Comedy, Drama, Romance",700
297,23,8,Kevin Spacey,American Beauty,12,21,32244431,1999,USA,2,1959-07-26,None,40,1999-09-08,Drama,520
297,23,8,Cate Blanchett,Carol,3,17,44232341,2015,Australia,1,1969-05-14,None,46,2015-05-17,"Romance, Drama",148
297,23,8,Rosalind Russell,His Girl Friday,17,17,44432231,1940,USA,1,1907-06-04,1976-11-28,32,1940-01-11,"Comedy, Drama, Romance",778
301,23,8,Julie Andrews,The Sound of Music,1,20,32322443,1965,UK,1,1935-10-01,None,29,1965-03-02,"Drama, Family, Music, Romance",494
301,23,8,Edward Norton,American History X,10,17,33244232,1998,USA,2,1969-08-18,None,29,1998-10-30,Drama,247
303,23,8,Anatoly Solonitsyn,Stalker,6,15,23332433,1979,USSR,2,1934-08-30,1982-06-11,44,1979-05-25,"Science Fiction, Drama",925
303,23,8,Emmanuelle Riva,Amour,19,13,22333334,2012,France,1,1927-02-24,2017-01-27,85,2012-05-20,"Drama, Romance",265
303,23,8,Cary Grant,His Girl Friday,13,18,23334332,1940,UK,2,1904-01-18,1986-11-29,36,1940-01-11,"Comedy, Drama, Romance",143
306,23,7,Machiko Kyo,Rashomon,2,15,1344434,1950,Japan,1,1924-03-25,2019-05-12,26,1950-08-26,"Crime, Drama, Mystery",952
306,23,7,Marlene Dietrich,The Blue Angel,4,13,4234424,1930,Germany,1,1901-12-27,1992-05-06,28,1930-04-01,Drama,599
306,23,7,Mark Ruffalo,You Can Count On Me,16,19,2442443,2000,USA,2,1967-11-22,None,32,2000-01-21,"Drama, Family",598
306,23,7,Claude Laydu,Journal d'un curé de campagne,9,11,3424244,1951,Belgium,0,1927-03-10,2011-07-29,23,1951-02-07,Drama,191
306,23,7,Brad Pitt,The Tree of Life,20,12,4414343,2011,USA,2,1963-12-18,None,47,2011-05-16,"Drama, Fantasy",110
311,23,7,Jack Nicholson,The Last Detail,18,17,2344334,1973,USA,2,1937-04-22,None,36,1973-12-11,"Comedy, Drama",397
311,23,7,Peter O'Toole,The Ruling Class,12,22,3344324,1972,Ireland,2,1932-08-02,2013-12-14,40,1972-09-13,"Drama, Comedy",713
311,23,7,Brigitte Mira,Ali: Fear Eats the Soul,14,13,4433243,1974,Germany,1,1910-04-20,2005-03-08,63,1974-03-05,"Romance, Drama",118
311,23,7,Liv Ullmann,Shame,6,16,4323344,1968,Japan,1,1938-12-16,None,29,1968-01-01,"War, Drama",556
311,23,7,Judy Davis,Husbands and Wives,12,23,4243343,1992,Australia,1,1955-04-23,None,37,1992-09-14,"Romance, Comedy, Drama",488
311,23,7,Michael Douglas,Falling Down,15,12,3244334,1993,USA,2,1944-09-25,None,48,1993-02-26,"Crime, Drama, Thriller",637
317,23,7,Liza Minnelli,Cabaret,1,21,3433334,1972,USA,1,1946-03-12,None,25,1972-02-13,"Drama, Music, Romance",559
318,23,6,Setsuko Hara,Early Summer,10,18,444443,1951,Japan,1,1920-06-17,2015-09-05,31,1951-10-03,Drama,967
318,23,6,Kinuyo Tanaka,The Life of Oharu,15,13,344444,1952,Japan,1,1909-11-28,1977-03-21,42,1952-04-17,Drama,987
318,23,6,Karuna Banerjee,Pather Panchali,1,22,444344,1955,India,1,1919-01-01,2001-11-13,36,1955-08-26,Drama,939
321,22,9,Tim Robbins,The Shawshank Redemption,4,14,113144134,1994,USA,2,1958-10-16,None,35,1994-09-10,"Drama, Crime",857
321,22,9,Chris Cooper,Adaptation.,2,16,411142234,2002,USA,2,1951-07-09,None,51,2002-12-06,"Comedy, Crime, Drama",173
323,22,9,Corinne Marchand,Cléo From 5 to 7,6,17,142223242,1962,France,1,1937-12-04,None,24,1962-05-10,"Comedy, Drama",203
324,22,8,Elizabeth Taylor,Cat on a Hot Tin Roof,4,15,42341314,1958,UK,1,1932-02-27,2011-03-23,26,1958-08-23,"Drama, Romance",251
324,22,8,Pam Grier,Jackie Brown,10,19,44411323,1997,USA,1,1949-05-26,None,47,1997-04-10,"Crime, Thriller, Drama",684
324,22,8,Misa Uehara,The Hidden Fortress,13,19,42412234,1958,Japan,1,1937-03-26,None,21,1958-12-28,"Adventure, Drama, Action, Comedy",950
327,22,8,Willem Dafoe,The Lighthouse,18,18,22243234,2019,USA,2,1955-07-22,None,63,2019-05-19,"Drama, Fantasy, Thriller, Horror",899
327,22,8,Sissy Spacek,3 Women,6,18,43133224,1977,USA,1,1949-12-25,None,27,1977-04-10,"Drama, Mystery",824
327,22,8,Burt Reynolds,Deliverance,17,18,14334232,1972,USA,2,1936-02-11,2018-09-06,36,1972-07-30,"Drama, Adventure, Thriller",134
327,22,8,Edward G. Robinson,Double Indemnity,4,16,22342342,1944,Romania,2,1893-12-12,1973-01-26,50,1944-07-03,"Crime, Drama, Mystery, Thriller",244
327,22,8,Shelley Duvall,3 Women,16,20,42342232,1977,USA,1,1949-07-07,None,27,1977-04-10,"Drama, Mystery",813
327,22,8,Ryan Gosling,Drive,7,16,33342124,2011,Canada,2,1980-11-12,None,30,2011-05-20,"Drama, Thriller, Crime",788
327,22,8,Anatoly Solonitsyn,Andrei Rublev,7,16,33441313,1966,USSR,2,1934-08-30,1982-06-11,32,1966-12-16,"Drama, History",924
334,22,8,Seiji Miyaguchi,Seven Samurai,8,17,34333321,1954,Japan,2,1913-11-15,1985-04-12,40,1954-04-26,"Action, Drama",812
334,22,8,Tom Cruise,Born on the Fourth of July,4,17,32423233,1989,USA,2,1962-07-03,None,26,1989-03-02,"Drama, War",864
334,22,8,Marilyn Monroe,Some Like it Hot,6,19,33232342,1959,USA,1,1926-06-01,1962-08-05,32,1959-03-19,"Comedy, Music, Romance",591
334,22,8,Nicolas Cage,Wild at Heart,19,14,13432333,1990,USA,2,1964-01-07,None,26,1990-05-19,"Comedy, Crime, Thriller",669
338,22,7,Michael Fassbender,Hunger,10,20,2443414,2008,Germany,2,1977-04-02,None,31,2008-05-15,"Drama, History",639
338,22,7,Montgomery Clift,Red River,5,17,2441434,1948,USA,2,1920-10-17,1966-07-23,27,1948-08-26,"Action, Adventure, Drama, Romance, Western",658
338,22,7,Kevin Spacey,The Usual Suspects,1,23,4214434,1995,USA,2,1959-07-26,None,35,1995-01-25,"Drama, Crime, Thriller",521
341,22,7,Myrna Loy,The Thin Man,7,18,3244432,1934,USA,1,1905-08-02,1993-12-14,28,1934-05-25,"Comedy, Crime, Mystery",661
341,22,7,Katharine Hepburn,The Lion in Winter,15,14,3433414,1968,USA,1,1907-05-12,2003-06-29,60,1968-01-01,"Drama, History",511
341,22,7,Anthony Quinn,Zorba the Greek,13,20,4442323,1964,Mexico,2,1915-04-21,2001-06-03,49,1964-12-14,"Drama, Comedy",62
341,22,7,Mary Tyler Moore,Ordinary People,18,19,2344432,1980,USA,1,1936-12-29,2017-01-25,43,1980-09-19,Drama,613
345,22,7,Christian Bale,Empire of the Sun,17,19,3423334,1987,UK,2,1974-01-30,None,13,1987-12-09,"Drama, History, War",174
345,22,7,John Wayne,Rio Bravo,1,24,3432433,1959,USA,2,1907-05-26,1979-06-11,51,1959-03-17,Western,477
347,22,6,Jane Fonda,Klute,12,24,444244,1971,USA,1,1937-12-21,None,33,1971-06-23,"Mystery, Thriller",424
348,22,6,Masayuki Mori,Ugetsu,17,20,344443,1953,Japan,2,1911-01-13,1973-10-07,42,1953-03-26,"Fantasy, Drama, Mystery",982
348,22,6,Claudia Cardinale,8½,20,13,343444,1963,Tunisia,1,1938-04-15,None,24,1963-02-14,"Fantasy, Drama",194
348,22,6,Ernest Borgnine,Marty,14,14,443344,1955,USA,2,1917-01-24,2012-07-08,38,1955-04-11,"Drama, Romance",272
348,22,6,Bruno Ganz,Der Untergang,7,19,344443,2004,Switzerland,2,1941-03-22,2019-02-16,63,2004-09-08,"Drama, History, War",126
352,21,10,Jake Gyllenhaal,Nightcrawler,17,21,2231432112,2014,USA,2,1980-12-19,None,33,2014-09-05,"Crime, Drama, Thriller",400
353,21,10,Catherine Deneuve,Belle de jour,3,18,3132332112,1967,France,1,1943-10-22,None,23,1967-05-24,"Drama, Romance",149
354,21,9,Diane Keaton,Manhattan,3,19,232421313,1979,USA,1,1946-01-05,None,33,1979-04-18,"Comedy, Drama, Romance",1009
355,21,8,Vittorio Gassman,The Easy Life,12,25,12243324,1962,Italy,2,1922-09-01,2000-06-29,40,1962-12-04,"Drama, Comedy",884
356,21,8,Christoph Waltz,Django Unchained,4,18,33334212,2012,Austria,2,1956-10-04,None,56,2012-12-11,"Drama, Western",176
356,21,8,Jeanne Moreau,Jules and Jim,10,21,43232322,1962,France,1,1928-01-23,2017-07-31,34,1962-01-23,"Drama, Romance",443
356,21,8,Eiji Okada,"Hiroshima, My Love",9,12,14332332,1959,Japan,2,1920-06-13,1995-09-14,38,1959-05-08,"Drama, History, Romance",971
356,21,8,James Dean,Giant,15,15,33433221,1956,USA,2,1931-02-08,1955-09-30,25,1956-10-10,"Drama, Western",409
360,21,7,Paul Newman,The Hustler,19,15,3424134,1961,USA,2,1925-01-26,2008-09-26,36,1961-09-24,Drama,695
360,21,7,Bruno Schleinstein,Stroszek,14,15,2423442,1977,Germany,2,1932-06-02,2010-08-11,44,1977-01-12,"Drama, Comedy",128
360,21,7,Saoirse Ronan,Little Women,20,14,2341443,2019,USA,1,1994-04-12,None,25,2019-12-07,"Drama, Romance",800
363,21,7,Gene Kelly,Singin’ in the Rain,11,17,4323243,1952,USA,2,1912-08-23,1996-02-02,39,1952-03-27,"Comedy, Music, Romance",309
363,21,7,Joseph Cotten,Shadow of a Doubt,4,19,4433322,1943,USA,2,1905-05-15,1994-02-06,37,1943-01-12,"Crime, Drama, Thriller",483
363,21,7,Laura Dern,Inland Empire,6,20,2344323,2006,USA,1,1967-02-10,None,39,2006-09-06,"Drama, Mystery, Thriller, Fantasy",534
363,21,7,Cloris Leachman,The Last Picture Show,20,15,4323234,1971,USA,1,1926-04-30,None,45,1971-10-02,Drama,199
363,21,7,Jane Fonda,Coming Home,15,16,4332234,1978,USA,1,1937-12-21,None,40,1978-02-15,"Drama, Romance, War",423
363,21,7,Lisbeth Movin,Day of Wrath,3,20,3224433,1943,Denmark,1,1917-08-25,2011-11-07,26,1943-09-13,"Drama, Romance",554
363,21,7,Liv Ullmann,The Passion of Anna,17,22,4431333,1969,Japan,1,1938-12-16,None,30,1969-11-10,Drama,555
370,21,6,Imelda Staunton,Vera Drake,5,18,444441,2004,UK,1,1956-01-09,None,48,2004-10-22,"Crime, Drama",378
370,21,6,Ken Ogata,Mishima: A Life in Four Chapters,15,17,444441,1985,Japan,2,1937-07-20,2008-10-05,47,1985-05-15,Drama,517
372,21,6,Maksim Munzuk,Dersu Uzala,10,22,444342,1975,Russia,2,1910-05-02,1999-07-28,65,1975-07-01,"Action, Adventure, Drama",929
373,21,6,Elliott Gould,the Long Goodbye,20,16,344343,1973,USA,2,1938-08-29,None,34,1973-03-07,"Thriller, Crime, Drama, Mystery",257
373,21,6,Tony Leung Chiu Wai,Chungking Express,15,18,433443,1994,Hong Kong,2,1962-06-27,None,32,1994-07-14,"Drama, Comedy, Romance",874
373,21,6,Julianne Moore,Magnolia,19,16,443433,1999,USA,1,1960-12-03,None,39,1999-12-10,Drama,492
373,21,6,Katharine Hepburn,Bringing Up Baby,15,18,443334,1938,USA,1,1907-05-12,2003-06-29,30,1938-02-16,"Comedy, Romance",510
377,20,8,Lupita Nyong'o,12 Years a Slave,20,17,42231413,2013,Mexico,1,1983-03-01,None,30,2013-10-18,"Drama, History",567
377,20,8,Peter Ustinov,Spartacus,15,20,22412243,1960,UK,2,1921-04-16,2004-03-28,39,1960-10-06,"Action, Adventure, Drama, History, War",720
377,20,8,Rod Steiger,In the Heat of the Night,13,21,31234124,1967,USA,2,1925-04-14,2002-07-09,42,1967-08-02,"Crime, Drama, Mystery, Thriller",773
380,20,8,Lee J Cobb,12 Angry Men,19,17,32322332,1957,USA,2,1911-12-08,1976-02-11,45,1957-04-10,Drama,542
380,20,8,Gloria Grahame,The Big Heat,3,21,32233313,1953,USA,1,1923-11-28,1981-10-05,29,1953-10-14,"Crime, Drama",331
382,20,7,Jean-Louis Trintignant,The Conformist,16,21,4441421,1970,France,2,1930-12-11,None,39,1970-10-21,Drama,439
